sourceUserId,displayName,email,phone,sourceRole,platformRole,supplierKind,supplierType,publicName,organizationName,organizationType,contactPersonName,city,area,latitude,longitude,preferredCategory,learnerType,interests,skillLevel,description,learnerBio,profileImageUrl,accountStatus,verificationStatus,organizationVerificationStatus,sourcePoints,createdAt,materialOwnerEligible
16,معاذ سلامة,user16@impactloop.demo,+970564694634,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,معاذ سلامة,,,,جنين,ميثلون,32.465435,35.311242,أثاث منزلي,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة أثاث منزلي.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%85%D8%B9%D8%A7%D8%B0%20%D8%B3%D9%84%D8%A7%D9%85%D8%A9,ACTIVE,APPROVED,,372,2025-11-02,true
17,يوسف دراغمة,user17@impactloop.demo,+970599143903,مستفيد,LEARNER,,,,,,,رام الله والبيرة,كوبر,31.893013,35.194794,أدوات مكتبية,COMMUNITY_MEMBER,art_crafts|recycling,BEGINNER,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أدوات مكتبية.,https://api.dicebear.com/9.x/initials/png?seed=%D9%8A%D9%88%D8%B3%D9%81%20%D8%AF%D8%B1%D8%A7%D8%BA%D9%85%D8%A9,ACTIVE,,,77,2025-12-19,false
18,رنا شلبي,user18@impactloop.demo,+970596944126,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,مبادرة خطوة نحو الدائرية,مبادرة خطوة نحو الدائرية,WORKSHOP,رنا شلبي,الخليل,دورا,31.530506,35.107089,معدات رياضية,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة معدات رياضية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B1%D9%86%D8%A7%20%D8%B4%D9%84%D8%A8%D9%8A,ACTIVE,APPROVED,VERIFIED,249,2025-12-02,true
19,عمر دراوشة,user19@impactloop.demo,+970565171761,مستفيد,LEARNER,,,,,,,رام الله والبيرة,رام الله والبيرة,31.892019,35.197704,ملابس,COMMUNITY_MEMBER,fabric_textiles|art_crafts|recycling,INTERMEDIATE,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة ملابس.,https://api.dicebear.com/9.x/initials/png?seed=%D8%B9%D9%85%D8%B1%20%D8%AF%D8%B1%D8%A7%D9%88%D8%B4%D8%A9,ACTIVE,,,284,2025-08-05,false
20,ليان بدوي,user20@impactloop.demo,+970592642635,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,ليان بدوي,,,,بيت لحم,بيت ساحور,31.715923,35.208448,أدوات مكتبية,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة أدوات مكتبية.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%84%D9%8A%D8%A7%D9%86%20%D8%A8%D8%AF%D9%88%D9%8A,ACTIVE,APPROVED,,438,2025-01-03,true
21,طارق عياش,user21@impactloop.demo,+970563762152,منظمة شريكة,SUPPLIER,ORGANIZATION,EDUCATIONAL_INSTITUTION,مركز المعرفة لإعادة استخدام المستلزمات التعليمية,مركز المعرفة لإعادة استخدام المستلزمات التعليمية,EDUCATIONAL_INSTITUTION,طارق عياش,بيت لحم,الدوحة,31.712329,35.211964,كتب دراسية,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة كتب دراسية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B7%D8%A7%D8%B1%D9%82%20%D8%B9%D9%8A%D8%A7%D8%B4,ACTIVE,APPROVED,VERIFIED,209,2025-05-26,true
22,سلمى ياسين,user22@impactloop.demo,+970593597059,مستفيد,LEARNER,,,,,,,طوباس,طوباس,32.332951,35.360452,أدوات مطبخ,COMMUNITY_MEMBER,home_diy|recycling,BEGINNER,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أدوات مطبخ.,https://api.dicebear.com/9.x/initials/png?seed=%D8%B3%D9%84%D9%85%D9%89%20%D9%8A%D8%A7%D8%B3%D9%8A%D9%86,ACTIVE,,,121,2025-01-19,false
23,يزن طنبور,user23@impactloop.demo,+970561954280,طالب,LEARNER,,,,,,,نابلس,نابلس,32.229225,35.253852,أثاث منزلي,STUDENT,woodworking|home_diy|recycling,ADVANCED,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أثاث منزلي.,https://api.dicebear.com/9.x/initials/png?seed=%D9%8A%D8%B2%D9%86%20%D8%B7%D9%86%D8%A8%D9%88%D8%B1,ACTIVE,,,445,2025-03-03,false
24,معاذ دراوشة,user24@impactloop.demo,+970561666754,طالب,LEARNER,,,,,,,جنين,جنين,32.464118,35.290355,أثاث منزلي,STUDENT,woodworking|home_diy|recycling,INTERMEDIATE,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أثاث منزلي.,https://api.dicebear.com/9.x/initials/png?seed=%D9%85%D8%B9%D8%A7%D8%B0%20%D8%AF%D8%B1%D8%A7%D9%88%D8%B4%D8%A9,ACTIVE,,,224,2025-11-19,false
25,لمى عمرو,user25@impactloop.demo,+970565456272,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,مؤسسة دائرة الحياة للاستدامة,مؤسسة دائرة الحياة للاستدامة,WORKSHOP,لمى عمرو,القدس,القدس,31.763408,35.206526,أجهزة إلكترونية,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أجهزة إلكترونية.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%84%D9%85%D9%89%20%D8%B9%D9%85%D8%B1%D9%88,ACTIVE,APPROVED,VERIFIED,353,2025-11-10,true
26,فرح حمدان,user26@impactloop.demo,+970562229110,طالب,LEARNER,,,,,,,نابلس,قصرة,32.228988,35.254042,ملابس,STUDENT,fabric_textiles|art_crafts|recycling,INTERMEDIATE,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة ملابس.,https://api.dicebear.com/9.x/initials/png?seed=%D9%81%D8%B1%D8%AD%20%D8%AD%D9%85%D8%AF%D8%A7%D9%86,ACTIVE,,,269,2025-05-05,false
27,ياسمين رشيد,user27@impactloop.demo,+970599874152,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,ياسمين رشيد,,,,رام الله والبيرة,بيرزيت,31.914706,35.193823,أدوات مكتبية,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة أدوات مكتبية.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86%20%D8%B1%D8%B4%D9%8A%D8%AF,ACTIVE,APPROVED,,163,2025-11-04,true
28,إياد الشريف,user28@impactloop.demo,+970565569244,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,إياد الشريف,,,,جنين,جنين,32.467154,35.307437,مواد خام,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة مواد خام.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%A5%D9%8A%D8%A7%D8%AF%20%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81,ACTIVE,APPROVED,,117,2025-12-11,true
29,إياد عابدين,user29@impactloop.demo,+970568106422,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,إياد عابدين,,,,بيت لحم,بيت جالا,31.694752,35.212553,كتب دراسية,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة كتب دراسية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%A5%D9%8A%D8%A7%D8%AF%20%D8%B9%D8%A7%D8%A8%D8%AF%D9%8A%D9%86,ACTIVE,APPROVED,,11,2025-06-25,true
30,إياد جرادات,user30@impactloop.demo,+970591162230,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,إياد جرادات,,,,بيت لحم,بيت لحم,31.699452,35.204424,أثاث منزلي,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة أثاث منزلي.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%A5%D9%8A%D8%A7%D8%AF%20%D8%AC%D8%B1%D8%A7%D8%AF%D8%A7%D8%AA,ACTIVE,APPROVED,,493,2025-12-05,true
31,سيف الأشقر,user31@impactloop.demo,+970566171716,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,سيف الأشقر,,,,طوباس,الفارسية,32.323734,35.367919,كتب دراسية,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة كتب دراسية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B3%D9%8A%D9%81%20%D8%A7%D9%84%D8%A3%D8%B4%D9%82%D8%B1,ACTIVE,APPROVED,,470,2025-06-07,true
32,علي القاضي,user32@impactloop.demo,+970593592974,مستفيد,LEARNER,,,,,,,طوباس,طوباس,32.315945,35.380177,أجهزة إلكترونية,COMMUNITY_MEMBER,electronics|circuits|arduino,ADVANCED,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أجهزة إلكترونية.,https://api.dicebear.com/9.x/initials/png?seed=%D8%B9%D9%84%D9%8A%20%D8%A7%D9%84%D9%82%D8%A7%D8%B6%D9%8A,ACTIVE,,,419,2025-03-14,false
33,سامر حداد,user33@impactloop.demo,+970565476257,مستفيد,LEARNER,,,,,,,الخليل,الخليل,31.531758,35.109719,أثاث منزلي,COMMUNITY_MEMBER,woodworking|home_diy|recycling,INTERMEDIATE,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أثاث منزلي.,https://api.dicebear.com/9.x/initials/png?seed=%D8%B3%D8%A7%D9%85%D8%B1%20%D8%AD%D8%AF%D8%A7%D8%AF,ACTIVE,,,205,2025-01-28,false
34,مي دويكات,user34@impactloop.demo,+970561397023,مستفيد,LEARNER,,,,,,,بيت لحم,تقوع,31.697639,35.206346,معدات رياضية,COMMUNITY_MEMBER,home_diy|recycling,INTERMEDIATE,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة معدات رياضية.,https://api.dicebear.com/9.x/initials/png?seed=%D9%85%D9%8A%20%D8%AF%D9%88%D9%8A%D9%83%D8%A7%D8%AA,ACTIVE,,,178,2025-05-28,false
35,رامي القاضي,user35@impactloop.demo,+970591463060,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,رامي القاضي,,,,القدس,الجيب,31.758571,35.204087,أدوات مطبخ,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة أدوات مطبخ.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B1%D8%A7%D9%85%D9%8A%20%D8%A7%D9%84%D9%82%D8%A7%D8%B6%D9%8A,ACTIVE,APPROVED,,101,2025-10-09,true
36,علي الحاج,user36@impactloop.demo,+970599580255,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,علي الحاج,,,,الخليل,حلحول,31.53849,35.095176,معدات رياضية,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة معدات رياضية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B9%D9%84%D9%8A%20%D8%A7%D9%84%D8%AD%D8%A7%D8%AC,ACTIVE,APPROVED,,470,2025-10-07,true
37,رغد ياسين,user37@impactloop.demo,+970567110622,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,جمعية إعادة التدوير الخيرية - نابلس,جمعية إعادة التدوير الخيرية - نابلس,WORKSHOP,رغد ياسين,نابلس,النصارية,32.210633,35.243178,أثاث منزلي,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أثاث منزلي.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B1%D8%BA%D8%AF%20%D9%8A%D8%A7%D8%B3%D9%8A%D9%86,ACTIVE,APPROVED,VERIFIED,495,2025-11-11,true
38,رهف صوالحة,user38@impactloop.demo,+970597751158,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,رهف صوالحة,,,,طوباس,عين البيضا,32.315273,35.36683,أدوات مكتبية,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة أدوات مكتبية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B1%D9%87%D9%81%20%D8%B5%D9%88%D8%A7%D9%84%D8%AD%D8%A9,ACTIVE,APPROVED,,75,2025-04-14,true
39,ليان نوفل,user39@impactloop.demo,+970566098175,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,ليان نوفل,,,,أريحا,الزبيدات,31.866863,35.458365,ملابس,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة ملابس.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%84%D9%8A%D8%A7%D9%86%20%D9%86%D9%88%D9%81%D9%84,ACTIVE,APPROVED,,230,2025-10-20,true
40,أمل حسين,user40@impactloop.demo,+970593846949,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,أمل حسين,,,,بيت لحم,بيت لحم,31.695433,35.198015,أدوات مطبخ,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة أدوات مطبخ.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%A3%D9%85%D9%84%20%D8%AD%D8%B3%D9%8A%D9%86,ACTIVE,APPROVED,,273,2025-11-21,true
41,هبة رشيد,user41@impactloop.demo,+970561409790,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,هبة رشيد,,,,القدس,بيت حنينا,31.763573,35.202287,ملابس,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة ملابس.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%87%D8%A8%D8%A9%20%D8%B1%D8%B4%D9%8A%D8%AF,ACTIVE,APPROVED,,253,2025-10-28,true
42,عماد عياش,user42@impactloop.demo,+970599294272,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,مركز إعادة الإحياء الحرفي,مركز إعادة الإحياء الحرفي,WORKSHOP,عماد عياش,القدس,القدس,31.763648,35.208463,ملابس,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة ملابس.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B9%D9%85%D8%A7%D8%AF%20%D8%B9%D9%8A%D8%A7%D8%B4,ACTIVE,APPROVED,VERIFIED,85,2025-11-23,true
43,علي ياسين,user43@impactloop.demo,+970591842524,طالب,LEARNER,,,,,,,سلفيت,حارس,32.087927,35.191894,ملابس,STUDENT,fabric_textiles|art_crafts|recycling,ADVANCED,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة ملابس.,https://api.dicebear.com/9.x/initials/png?seed=%D8%B9%D9%84%D9%8A%20%D9%8A%D8%A7%D8%B3%D9%8A%D9%86,ACTIVE,,,479,2025-02-15,false
44,عماد سلايمة,user44@impactloop.demo,+970599468772,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,جمعية يد بيد للمواد المستدامة,جمعية يد بيد للمواد المستدامة,WORKSHOP,عماد سلايمة,طوباس,طوباس,32.314778,35.377414,أدوات مكتبية,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أدوات مكتبية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B9%D9%85%D8%A7%D8%AF%20%D8%B3%D9%84%D8%A7%D9%8A%D9%85%D8%A9,ACTIVE,APPROVED,VERIFIED,238,2025-03-24,true
45,وعد عبد الهادي,user45@impactloop.demo,+970599745959,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,جمعية زيتونة للاستدامة المجتمعية,جمعية زيتونة للاستدامة المجتمعية,WORKSHOP,وعد عبد الهادي,سلفيت,سلفيت,32.07048,35.18367,ملابس,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة ملابس.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%88%D8%B9%D8%AF%20%D8%B9%D8%A8%D8%AF%20%D8%A7%D9%84%D9%87%D8%A7%D8%AF%D9%8A,ACTIVE,APPROVED,VERIFIED,150,2025-08-03,true
46,رنا بدوي,user46@impactloop.demo,+970563321531,مستفيد,LEARNER,,,,,,,رام الله والبيرة,عابود,31.900028,35.215075,ملابس,COMMUNITY_MEMBER,fabric_textiles|art_crafts|recycling,INTERMEDIATE,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة ملابس.,https://api.dicebear.com/9.x/initials/png?seed=%D8%B1%D9%86%D8%A7%20%D8%A8%D8%AF%D9%88%D9%8A,ACTIVE,,,206,2025-12-05,false
47,يوسف عياش,user47@impactloop.demo,+970592044645,مستفيد,LEARNER,,,,,,,الخليل,السموع,31.539271,35.095051,معدات رياضية,COMMUNITY_MEMBER,home_diy|recycling,INTERMEDIATE,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة معدات رياضية.,https://api.dicebear.com/9.x/initials/png?seed=%D9%8A%D9%88%D8%B3%D9%81%20%D8%B9%D9%8A%D8%A7%D8%B4,ACTIVE,,,209,2025-10-23,false
48,نبيل فروانة,user48@impactloop.demo,+970597542890,منظمة شريكة,SUPPLIER,ORGANIZATION,EDUCATIONAL_INSTITUTION,مركز أفق للتعليم والاستدامة,مركز أفق للتعليم والاستدامة,EDUCATIONAL_INSTITUTION,نبيل فروانة,بيت لحم,حوسان,31.700327,35.205727,أدوات مكتبية,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أدوات مكتبية.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%86%D8%A8%D9%8A%D9%84%20%D9%81%D8%B1%D9%88%D8%A7%D9%86%D8%A9,ACTIVE,APPROVED,VERIFIED,392,2025-12-18,true
